intercept,sigma2,parameter
0.47822698079767656,0.020173354839893354,mortality_rate
0.4700242051014321,0.011940042937997988,mortality_rate
0.48604808813560135,0.054251935879350906,mortality_rate
0.47802045882094374,0.03390434558473013,mortality_rate
0.4547019575118999,0.014790323611607403,mortality_rate
0.5087931188825738,0.047628474485239713,mortality_rate
0.4278010355762638,0.034175546914068794,mortality_rate
0.4455690336302513,0.01145588573237693,mortality_rate
0.47516271158681067,0.0443372467270858,mortality_rate
0.5079181281688399,0.026097587709082052,mortality_rate
0.5400579858747193,0.015214031028993356,mortality_rate
0.4225515054635638,0.017766654666294294,mortality_rate
0.510384498198203,0.0340201908424948,mortality_rate
0.5756271514458371,0.016269134723641897,mortality_rate
0.5615864307939915,0.031101685186634476,mortality_rate
0.49432191793571156,0.020991305892260045,mortality_rate
0.44013408690388345,0.015693613189462424,mortality_rate
0.5349612387648879,0.018060135119092855,mortality_rate
0.38435747411889626,0.06906400210251115,mortality_rate
0.49261538681212563,0.05193881129157924,mortality_rate
0.4752636254511017,0.02399092512143778,mortality_rate
0.5431975863460595,0.016963441597891676,mortality_rate
0.4972344471004641,0.017196709219848682,mortality_rate
0.6122607559035198,0.02343672027911354,mortality_rate
0.4117119658992875,0.06073560975233449,mortality_rate
0.6066427619435405,0.023866430343962776,mortality_rate
0.46757759394004,0.05340317636063135,mortality_rate
0.5610434741159017,0.047304448106309266,mortality_rate
0.5265735766752566,0.035665432722614854,mortality_rate
0.5301068727494636,0.013234295170264133,mortality_rate
0.5574154445625075,0.029381748390548718,mortality_rate
0.3255229087199464,0.0413717575133722,mortality_rate
0.48437901429598884,0.024296268097152983,mortality_rate
0.4437136020153312,0.022012399358561533,mortality_rate
0.3769368263778551,0.04106959754318279,mortality_rate
0.3921412961686589,0.03483951065187649,mortality_rate
0.5123813733465419,0.04377206563017353,mortality_rate
0.4664804564342636,0.03285034099373449,mortality_rate
0.49963206764063806,0.025585041140625306,mortality_rate
0.48735152044667257,0.015376613650753502,mortality_rate
0.49115832522065583,0.014489575719739266,mortality_rate
0.5151116599763358,0.031161506168935586,mortality_rate
0.5141128557336075,0.022565191234212814,mortality_rate
0.5740498838149666,0.035099918587138346,mortality_rate
0.5288358289314821,0.029724018481838158,mortality_rate
0.5195974584278321,0.02368452809802786,mortality_rate
0.5523021991972599,0.045366576011006084,mortality_rate
0.49303995435408027,0.01042724998127212,mortality_rate
0.46872356125954173,0.048352550971727665,mortality_rate
0.4381996259926219,0.03049815182099061,mortality_rate
0.48581424649221316,0.03157519014479278,mortality_rate
